Lag,q,Moment,Observations,Table,Population,LagType,TrainEnd,MaxLag
60,4.0,2.07661237446029,5355755,equity_parkinson_variance,global,observation,2016-01-01,400
61,1.0,0.5801516015575122,5354230,equity_parkinson_variance,global,observation,2016-01-01,400
61,1.5,0.5569783473377052,5354230,equity_parkinson_variance,global,observation,2016-01-01,400
61,2.0,0.5987757997948638,5354230,equity_parkinson_variance,global,observation,2016-01-01,400
61,3.0,0.9331114801852043,5354230,equity_parkinson_variance,global,observation,2016-01-01,400
61,4.0,2.06690515582622,5354230,equity_parkinson_variance,global,observation,2016-01-01,400
62,1.0,0.5799670285298194,5352705,equity_parkinson_variance,global,observation,2016-01-01,400
62,1.5,0.5567000411398656,5352705,equity_parkinson_variance,global,observation,2016-01-01,400
62,2.0,0.5984342274778559,5352705,equity_parkinson_variance,global,observation,2016-01-01,400
62,3.0,0.9327478433842824,5352705,equity_parkinson_variance,global,observation,2016-01-01,400
62,4.0,2.065965935389342,5352705,equity_parkinson_variance,global,observation,2016-01-01,400
63,1.0,0.5789908774091744,5351180,equity_parkinson_variance,global,observation,2016-01-01,400
63,1.5,0.5556042208124604,5351180,equity_parkinson_variance,global,observation,2016-01-01,400
63,2.0,0.5972699458451086,5351180,equity_parkinson_variance,global,observation,2016-01-01,400
63,3.0,0.9317830934148063,5351180,equity_parkinson_variance,global,observation,2016-01-01,400
