q,Zeta,Intercept,MomentR2,Table,Population
4.0,0.18353568372652368,-0.635759890215267,0.7825490139828587,crypto_realized_variance,WIN
1.0,0.32435080844591857,-0.8791222003826817,0.9330392783753173,crypto_realized_variance,LUNA
1.5,0.3982110899763461,-0.5286771446486618,0.919525335802519,crypto_realized_variance,LUNA
2.0,0.43874636649228277,0.07457619780422814,0.9064313705180889,crypto_realized_variance,LUNA
3.0,0.4815905695084379,1.576465149775477,0.8838430287384669,crypto_realized_variance,LUNA
4.0,0.5074733291209119,3.2189190718799687,0.8637283437040949,crypto_realized_variance,LUNA
1.0,0.05792568017081374,-0.8166630623796509,0.6827809789735376,crypto_realized_variance,DOGE
1.5,0.08388590077034488,-1.0055717637002428,0.6715666811026775,crypto_realized_variance,DOGE
2.0,0.10742168244980467,-1.097325185248342,0.6549866176132723,crypto_realized_variance,DOGE
3.0,0.14718491594815164,-1.0554638161250285,0.6115625900380148,crypto_realized_variance,DOGE
4.0,0.17848660816212925,-0.7840312149398571,0.555825936051591,crypto_realized_variance,DOGE
1.0,0.10630720358188925,-1.1031503255739898,0.9394289740623661,crypto_realized_variance,TRX
1.5,0.14977823149494432,-1.403927285828241,0.9438427812066665,crypto_realized_variance,TRX
2.0,0.18762131914208238,-1.590010478694276,0.9439356434777963,crypto_realized_variance,TRX
3.0,0.248867436362681,-1.6902968188846494,0.9297715990991183,crypto_realized_variance,TRX
4.0,0.29533524043331166,-1.508126218447265,0.8878913962526319,crypto_realized_variance,TRX
1.0,0.07650881497605912,-1.001352189807589,0.8852623791673291,crypto_realized_variance,HOT
1.5,0.10800675695135259,-1.2660175520895902,0.8926246763503485,crypto_realized_variance,HOT
2.0,0.13473214082355373,-1.421787848205197,0.8922631875409428,crypto_realized_variance,HOT
3.0,0.17308865351511651,-1.4654062273467046,0.8704018059496283,crypto_realized_variance,HOT
4.0,0.18996874503797845,-1.2046413029129872,0.8055887303062927,crypto_realized_variance,HOT
1.0,0.0753858147691163,-1.0587136776210664,0.8883677490911985,crypto_realized_variance,DENT
1.5,0.10514565555376924,-1.3379180634329562,0.8888348409386813,crypto_realized_variance,DENT
2.0,0.12863766318014366,-1.4940033211192696,0.8824942839727894,crypto_realized_variance,DENT
3.0,0.1546934877061969,-1.487471595508246,0.8437434941859706,crypto_realized_variance,DENT
4.0,0.1515302446584686,-1.1097193235504355,0.7303650078329491,crypto_realized_variance,DENT
1.0,0.07314230425662914,-0.6722249428983966,0.8411191997807397,crypto_realized_variance,TROY
1.5,0.09805372289536614,-0.7078493872979437,0.8249795312603384,crypto_realized_variance,TROY
