Lag,q,Moment,Observations,Table,Population
56,4.0,1.3671749274895209,8669657,equity_parkinson_variance,global
57,1.0,0.54227843751881,7030996,equity_parkinson_variance,global
57,1.5,0.4996975506600512,7030996,equity_parkinson_variance,global
57,2.0,0.5120788571025551,7030996,equity_parkinson_variance,global
57,3.0,0.7095562968560027,7030996,equity_parkinson_variance,global
57,4.0,1.3751312732574583,7030996,equity_parkinson_variance,global
58,1.0,0.5416616490229453,5234703,equity_parkinson_variance,global
58,1.5,0.4991844329349655,5234703,equity_parkinson_variance,global
58,2.0,0.511878662019069,5234703,equity_parkinson_variance,global
58,3.0,0.7113044871599957,5234703,equity_parkinson_variance,global
58,4.0,1.3845338377308718,5234703,equity_parkinson_variance,global
59,1.0,0.5404491594267008,5057808,equity_parkinson_variance,global
59,1.5,0.497758121948313,5057808,equity_parkinson_variance,global
59,2.0,0.5103431236793662,5057808,equity_parkinson_variance,global
59,3.0,0.7100285987490362,5057808,equity_parkinson_variance,global
59,4.0,1.3847146892545128,5057808,equity_parkinson_variance,global
60,1.0,0.5409069562856411,5061791,equity_parkinson_variance,global
60,1.5,0.4982409650655923,5061791,equity_parkinson_variance,global
60,2.0,0.510719696047144,5061791,equity_parkinson_variance,global
60,3.0,0.7092765702786133,5061791,equity_parkinson_variance,global
60,4.0,1.3793701875594258,5061791,equity_parkinson_variance,global
61,1.0,0.5429526394211982,5245972,equity_parkinson_variance,global
61,1.5,0.5009519396247099,5245972,equity_parkinson_variance,global
61,2.0,0.5142564538000163,5245972,equity_parkinson_variance,global
61,3.0,0.7161103033073847,5245972,equity_parkinson_variance,global
61,4.0,1.3980185652982893,5245972,equity_parkinson_variance,global
62,1.0,0.5443140054923354,7033477,equity_parkinson_variance,global
62,1.5,0.5026936212189448,7033477,equity_parkinson_variance,global
62,2.0,0.5163931282098886,7033477,equity_parkinson_variance,global
62,3.0,0.7191890805375958,7033477,equity_parkinson_variance,global
62,4.0,1.400561330821583,7033477,equity_parkinson_variance,global
63,1.0,0.5441753784848877,8662043,equity_parkinson_variance,global
63,1.5,0.5025577043409433,8662043,equity_parkinson_variance,global
63,2.0,0.5162816256822503,8662043,equity_parkinson_variance,global
63,3.0,0.7189587571240007,8662043,equity_parkinson_variance,global
63,4.0,1.3978214796372583,8662043,equity_parkinson_variance,global
64,1.0,0.5457160446094073,7023705,equity_parkinson_variance,global
64,1.5,0.5042803649356569,7023705,equity_parkinson_variance,global
64,2.0,0.5179708865051631,7023705,equity_parkinson_variance,global
64,3.0,0.7192804130788516,7023705,equity_parkinson_variance,global
64,4.0,1.391131742542997,7023705,equity_parkinson_variance,global
65,1.0,0.5465861932342838,5230200,equity_parkinson_variance,global
65,1.5,0.5052861148722496,5230200,equity_parkinson_variance,global
65,2.0,0.5192447228850349,5230200,equity_parkinson_variance,global
65,3.0,0.72240407434134,5230200,equity_parkinson_variance,global
